leg_id,origin,destination,connection,edge_mode,carrier_mode,carrier,inferred,mixed_edge_component,distance_miles,max_load_lb,speed_miles_per_day,travel_days,full_load_base_cost_gp,base_cost_gp_per_ton_mile
LEG-000001,Airspur,Alaghôn,Sea of Fallen Stars coasting run,sea,sea,Coasting cog,False,False,292.424486,100000,60.2,4.86,598.39,0.041
LEG-000001,Airspur,Alaghôn,Sea of Fallen Stars coasting run,sea,sea,Merchant caravel,False,False,292.424486,180000,71.8,4.07,997.32,0.038
LEG-000001,Airspur,Alaghôn,Sea of Fallen Stars coasting run,sea,sea,Deep-water galleon,False,False,292.424486,400000,65.0,4.5,1905.99,0.033
LEG-000002,Airspur,Arrabar,The Vilhon Passage,sea,sea,Coasting cog,False,False,478.272266,100000,66.5,7.19,885.49,0.037
LEG-000002,Airspur,Arrabar,The Vilhon Passage,sea,sea,Merchant caravel,False,False,478.272266,180000,79.4,6.03,1475.81,0.034
LEG-000002,Airspur,Arrabar,The Vilhon Passage,sea,sea,Deep-water galleon,False,False,478.272266,400000,71.8,6.66,2820.44,0.029
LEG-000003,Airspur,Cimbar,The Vilhon Passage,sea,sea,Coasting cog,False,False,96.66235,100000,66.5,1.45,178.96,0.037
LEG-000003,Airspur,Cimbar,The Vilhon Passage,sea,sea,Merchant caravel,False,False,96.66235,180000,79.4,1.22,298.27,0.034
LEG-000003,Airspur,Cimbar,The Vilhon Passage,sea,sea,Deep-water galleon,False,False,96.66235,400000,71.8,1.35,570.03,0.029
LEG-000004,Airspur,Hlath,caravan track,track,track,Camel caravan,True,False,162.287553,3000,14.5,11.2,54.46,0.224
LEG-000004,Airspur,Hlath,caravan track,track,track,Mule caravan,True,False,162.287553,2400,12.6,12.88,48.41,0.249
LEG-000004,Airspur,Hlath,caravan track,track,track,Ox caravan,True,False,162.287553,5000,8.8,18.4,82.7,0.204
LEG-000005,Airspur,Luthcheq,caravan track,track,track,Camel caravan,True,False,225.718852,3000,17.6,12.83,62.38,0.184
LEG-000005,Airspur,Luthcheq,caravan track,track,track,Mule caravan,True,False,225.718852,2400,15.3,14.75,55.45,0.205
LEG-000005,Airspur,Luthcheq,caravan track,track,track,Ox caravan,True,False,225.718852,5000,10.7,21.08,94.72,0.168
LEG-000006,Airspur,Lyrabar,Sea of Fallen Stars coasting run,sea,sea,Coasting cog,False,False,450.38811,100000,60.2,7.48,921.64,0.041
LEG-000006,Airspur,Lyrabar,Sea of Fallen Stars coasting run,sea,sea,Merchant caravel,False,False,450.38811,180000,71.8,6.27,1536.06,0.038
LEG-000006,Airspur,Lyrabar,Sea of Fallen Stars coasting run,sea,sea,Deep-water galleon,False,False,450.38811,400000,65.0,6.93,2935.58,0.033
LEG-000007,Airspur,Reth,Airspur through Cimbar and Soorenar to Mordulkin,road,road,Ox freight wagon,False,False,63.611634,6000,14.7,4.33,22.09,0.116
LEG-000007,Airspur,Reth,Airspur through Cimbar and Soorenar to Mordulkin,road,road,Horse freight wagon,False,False,63.611634,4000,20.4,3.12,17.96,0.141
LEG-000007,Airspur,Reth,Airspur through Cimbar and Soorenar to Mordulkin,road,road,Mule cart,False,False,63.611634,2000,18.4,3.46,7.9,0.124
LEG-000008,Airspur,Velprintalar,Sea of Fallen Stars coasting run,sea,sea,Coasting cog,False,False,300.31292,100000,60.2,4.99,614.54,0.041
LEG-000008,Airspur,Velprintalar,Sea of Fallen Stars coasting run,sea,sea,Merchant caravel,False,False,300.31292,180000,71.8,4.18,1024.23,0.038
LEG-000008,Airspur,Velprintalar,Sea of Fallen Stars coasting run,sea,sea,Deep-water galleon,False,False,300.31292,400000,65.0,4.62,1957.41,0.033
