leg_id,origin_id,origin,destination_id,destination,connection,mode,mode_label,mixed_mode,inferred,distance_miles,quality,effective_speed_miles_per_day,travel_days,risk_premium,freight_gp_per_100_lb,freight_gp_per_2000_lb
LEG-000001,airspur,Airspur,alaghon,Alaghôn,Sea of Fallen Stars coasting run,sea,sea lane,False,False,292.424486,0.95,68.4,4.275212,0.162,0.643826,12.876527
LEG-000002,airspur,Airspur,arrabar,Arrabar,The Vilhon Passage,sea,sea lane,False,False,478.272266,1.05,75.6,6.326353,0.1755,0.963787,19.275739
LEG-000003,airspur,Airspur,cimbar,Cimbar,The Vilhon Passage,sea,sea lane,False,False,96.66235,1.05,75.6,1.278603,0.1755,0.194788,3.895769
LEG-000004,airspur,Airspur,hlath,Hlath,caravan track,track,wilderness track,False,True,162.287553,0.7,12.6,12.879965,0.294,2.610001,52.200023
LEG-000005,airspur,Airspur,luthcheq,Luthcheq,caravan track,track,wilderness track,False,True,225.718852,0.85,15.3,14.752866,0.336,3.086559,61.731185
LEG-000006,airspur,Airspur,lyrabar,Lyrabar,Sea of Fallen Stars coasting run,sea,sea lane,False,False,450.38811,0.95,68.4,6.584621,0.135,0.968571,19.37143
LEG-000007,airspur,Airspur,reth,Reth,Airspur through Cimbar and Soorenar to Mordulkin,road,road,False,False,63.611634,0.85,20.4,3.118217,0.21,0.543318,10.866364
LEG-000008,airspur,Airspur,velprintalar,Velprintalar,Sea of Fallen Stars coasting run,sea,sea lane,False,False,300.31292,0.95,68.4,4.39054,0.135,0.645831,12.916617
LEG-000009,akanax,Akanax,soorenar,Soorenar,Soorenar to Akanax trail,trail,trail,False,False,111.900517,0.7,13.3,8.413573,0.2925,1.611607,32.232145
LEG-000010,alaghon,Alaghôn,airspur,Airspur,Sea of Fallen Stars coasting run,sea,sea lane,False,False,292.424486,0.95,68.4,4.275212,0.162,0.643826,12.876527
LEG-000011,alaghon,Alaghôn,arrabar,Arrabar,The Vilhon Passage,sea,sea lane,False,False,327.863203,1.05,75.6,4.336815,0.1485,0.645516,12.910316
LEG-000012,alaghon,Alaghôn,hlath,Hlath,caravan track,track,wilderness track,False,True,186.007124,0.7,12.6,14.76247,0.252,2.894377,57.887543
LEG-000013,alaghon,Alaghôn,ironfang,Ironfang,local market trail,trail,trail,False,True,130.979846,0.65,12.35,10.605656,0.195,1.878251,37.56502
LEG-000014,alaghon,Alaghôn,morningstar_hollows,Morningstar Hollows,Alaghon through Turmish to Hlondeth,road,road,False,False,41.179555,0.85,20.4,2.018606,0.15,0.334281,6.685622
LEG-000015,alaghon,Alaghôn,procampur,Procampur,Sea of Fallen Stars coasting run,sea,sea lane,False,False,353.380036,0.95,68.4,5.166375,0.0945,0.732836,14.656716
LEG-000016,alaghon,Alaghôn,selgaunt,Selgaunt,Sea of Fallen Stars coasting run,sea,sea lane,False,False,362.070725,0.95,68.4,5.293432,0.135,0.778643,15.572852
LEG-000017,alaghon,Alaghôn,westgate,Westgate,The Vilhon Passage,sea,sea lane,False,False,454.087789,1.05,75.6,6.006452,0.243,0.967596,19.351924
LEG-000018,almorel,Almorel,delhumide,Delhumide,local market trail,trail,trail,False,True,265.438675,0.65,12.35,21.49301,0.312,4.179066,83.58133
LEG-000019,almraiven,Almraiven,calimport,Calimport,The Shining Sea Run,sea,sea lane,False,False,387.343943,1.0,72.0,5.379777,0.27,0.885468,17.709365
LEG-000020,almraiven,Almraiven,memnon,Memnon,The Shining Sea Run,sea,sea lane,False,False,456.640712,1.0,72.0,6.342232,0.2565,1.032784,20.655686
LEG-000021,almraiven,Almraiven,schamedar,Schamedar,Manshaka through Schamedar toward Almraiven,trail,trail,False,False,247.80292,0.7,13.3,18.631799,0.39,3.838113,76.762265
LEG-000022,almraiven,Almraiven,suldolphor,Suldolphor,Chult-Tashalar Coastal Run,sea,sea lane,False,False,196.914626,1.05,75.6,2.604691,0.2565,0.424154,8.483082
LEG-000023,almraiven,Almraiven,tashluta,Tashluta,Chult-Tashalar Coastal Run,sea,sea lane,False,False,428.736119,1.05,75.6,5.671113,0.216,0.893731,17.874621
LEG-000024,almraiven,Almraiven,tulmon,Tulmon,Almraiven to western Lake of Steam trail,trail,trail,False,False,181.449817,0.7,13.3,13.642843,0.3705,2.770972,55.41944
LEG-000025,almraiven,Almraiven,urbreth,Urbreth,Sea of Swords coasting run,sea,sea lane,False,False,188.159294,0.95,68.4,2.750867,0.243,0.443145,8.862897
LEG-000026,amphail,Amphail,daggerford,Daggerford,caravan track,track,wilderness track,False,True,162.419334,0.7,12.6,12.890423,0.252,2.527338,50.546753
LEG-000027,amphail,Amphail,goldenfields,Goldenfields,Long Road: Mirabar to Waterdeep,road,road,False,False,51.264303,0.85,20.4,2.512956,0.135,0.410718,8.214351
LEG-000028,amphail,Amphail,phandalin,Phandalin,caravan track,track,wilderness track,False,True,102.858058,0.7,12.6,8.163338,0.315,1.681068,33.62136
LEG-000029,amphail,Amphail,red_larch,Red Larch,The Long Road,road,road,False,False,47.614476,1.1,26.4,1.803579,0.195,0.31036,6.207196
LEG-000030,amphail,Amphail,stone_bridge,Stone Bridge,Red Larch and Goldenfields branch toward Secomber,trail,trail,False,False,106.958474,0.7,13.3,8.041991,0.2535,1.49395,29.879002
LEG-000031,amphail,Amphail,triboar,Triboar,caravan track,track,wilderness track,False,True,78.440105,0.85,15.3,5.126804,0.252,1.005178,20.103553
LEG-000032,amphail,Amphail,waterdeep,Waterdeep,The Long Road,road,road,False,False,89.657842,1.1,26.4,3.39613,0.12,0.547728,10.954558
LEG-000033,amphail,Amphail,yartar,Yartar,caravan track,track,wilderness track,False,True,137.372632,0.85,15.3,8.978603,0.273,1.789901,35.798015
LEG-000034,amruthar,Amruthar,nethjet,Nethjet,Nethjet through Amruthar to Pyarados,road,road,False,False,115.034766,0.85,20.4,5.638959,0.27,1.031253,20.625057
LEG-000035,amruthar,Amruthar,tyraturos,Tyraturos,Nethjet through Amruthar to Pyarados,road,road,False,False,93.269248,0.85,20.4,4.572022,0.255,0.826256,16.525116
LEG-000036,anchoril,Anchoril,port_nyanzaru,Port Nyanzaru,local market ferry,ferry,ferry,False,True,233.690607,0.65,19.5,11.984134,0.192,1.799921,35.99842
LEG-000037,ankhapur,Ankhapur,dalelost,Dalelost,Ankhapur to Yhep trail,trail,trail,False,False,177.082409,0.7,13.3,13.314467,0.312,2.588844,51.776873
LEG-000038,ankhapur,Ankhapur,kagarr,Kagarr,Ankhapur to Kagarr trail,trail,trail,False,False,284.453312,0.7,13.3,21.387467,0.312,4.158545,83.170898
LEG-000039,ankhapur,Ankhapur,saelmur,Saelmur,Saradush through Mintar to Ankhapur,trail,trail,False,False,139.154468,0.7,13.3,10.462742,0.39,2.155304,43.106078
LEG-000040,arabel,Arabel,highmoon,Highmoon,Arabel via Highmoon road to Ordulin,road,road,False,False,212.794704,0.85,20.4,10.431113,0.15,1.727392,34.547846
LEG-000041,arabel,Arabel,marsember,Marsember,Arabel to Suzail,road,road,False,False,109.856979,0.85,20.4,5.385146,0.15,0.89178,17.835604
LEG-000042,arabel,Arabel,proskur,Proskur,Proskur through the western Cormyr road junction to Arabel,road,road,False,False,348.522751,0.85,20.4,17.084449,0.195,2.939892,58.797838
LEG-000043,arabel,Arabel,suzail,Suzail,The Calantar's Way,road,road,False,False,115.454646,1.3,31.2,3.700469,0.09,0.580826,11.616514
LEG-000044,arabel,Arabel,tilverton,Tilverton,The Moonsea Ride,road,road,False,False,102.255027,1.05,25.2,4.057739,0.165,0.680726,13.614526
LEG-000045,arabel,Arabel,wheloon,Wheloon,caravan track,track,wilderness track,False,True,201.945438,0.85,15.3,13.199048,0.252,2.587848,51.756953
LEG-000046,archenbridge,Archenbridge,ashabenford,Ashabenford,The Way of the Manticore,road,road,False,False,204.2,1.0,24.0,8.508333,0.195,1.464114,29.28228
LEG-000047,archenbridge,Archenbridge,highmoon,Highmoon,Arabel via Highmoon road to Ordulin,road,road,False,False,92.145448,0.85,20.4,4.516934,0.18,0.767517,15.350348
