From / To,Waterdeep,Amphail,Baldur's Gate,Caer Calidyrr,Daggerford,Goldenfields,Leilon,Mintarn,Neverwinter,Orlumbor,Red Larch,Ruathym,Secomber
Waterdeep,0,0.547728,0.785052,1.182881,0.681531,0.958445,0.941078,0.822417,0.414854,0.554742,0.687614,1.428542,2.066221
Amphail,0.547728,0,1.33278,1.730609,1.229259,0.410718,1.488806,1.370145,0.962582,1.10247,0.31036,1.97627,2.613949
Baldur's Gate,0.785052,1.33278,0,1.040762,1.466583,1.743498,1.72613,0.680299,1.199906,0.459147,1.472666,2.213595,2.851273
Caer Calidyrr,1.182881,1.730609,1.040762,0,1.864412,2.141326,2.123959,0.360463,1.597735,0.830545,1.870495,2.611423,3.249101
Daggerford,0.681531,1.229259,1.466583,1.864412,0,1.639977,1.622609,1.503948,1.096385,1.236273,1.369145,2.110074,2.058022
Goldenfields,0.958445,0.410718,1.743498,2.141326,1.639977,0,1.899523,1.780863,1.3733,1.513188,0.439125,2.386988,2.778553
Leilon,0.941078,1.488806,1.72613,2.123959,1.622609,1.899523,0,1.763495,0.526224,1.49582,1.628692,1.539912,3.007299
Mintarn,0.822417,1.370145,0.680299,0.360463,1.503948,1.780863,1.763495,0,1.237271,0.470082,1.510031,2.25096,2.888638
Neverwinter,0.414854,0.962582,1.199906,1.597735,1.096385,1.3733,0.526224,1.237271,0,0.969596,1.102468,1.013688,2.481075
Orlumbor,0.554742,1.10247,0.459147,0.830545,1.236273,1.513188,1.49582,0.470082,0.969596,0,1.242356,1.983285,2.620963
Red Larch,0.687614,0.31036,1.472666,1.870495,1.369145,0.439125,1.628692,1.510031,1.102468,1.242356,0,2.116156,2.753835
Ruathym,1.428542,1.97627,2.213595,2.611423,2.110074,2.386988,1.539912,2.25096,1.013688,1.983285,2.116156,0,3.494763
Secomber,2.066221,2.613949,2.851273,3.249101,2.058022,2.778553,3.007299,2.888638,2.481075,2.620963,2.753835,3.494763,0
