From / To,Waterdeep,Amphail,Baldur's Gate,Caer Calidyrr,Daggerford,Goldenfields,Leilon,Mintarn,Neverwinter,Orlumbor,Red Larch,Ruathym,Secomber
Waterdeep,0,89.657842,466.667955,527.457677,128.404415,140.922145,337.209947,369.250186,246.606671,268.341424,109.158829,675.999434,248.063218
Amphail,89.657842,0,556.325797,617.115519,218.062258,51.264303,426.867789,458.908029,336.264513,357.999267,47.614476,765.657277,337.72106
Baldur's Gate,466.667955,556.325797,0,469.016628,595.07237,607.5901,803.877902,310.809138,713.274625,203.807802,575.826784,1142.667389,714.731173
Caer Calidyrr,527.457677,617.115519,469.016628,0,655.862092,668.379822,864.667623,158.20749,774.064347,368.309228,636.616506,1203.457111,775.520894
Daggerford,128.404415,218.062258,595.07237,655.862092,0,269.326561,465.614362,497.654602,375.011086,396.74584,237.563245,804.40385,161.176084
Goldenfields,140.922145,51.264303,607.5901,668.379822,269.326561,0,478.132092,510.172331,387.528816,409.26357,52.719778,816.92158,198.928872
Leilon,337.209947,426.867789,803.877902,864.667623,465.614362,478.132092,0,706.460133,90.603276,605.551371,446.368776,519.99604,585.273165
Mintarn,369.250186,458.908029,310.809138,158.20749,497.654602,510.172331,706.460133,0,615.856857,210.101737,478.409015,1045.249621,617.313404
Neverwinter,246.606671,336.264513,713.274625,774.064347,375.011086,387.528816,90.603276,615.856857,0,514.948095,355.7655,429.392764,494.669888
Orlumbor,268.341424,357.999267,203.807802,368.309228,396.74584,409.26357,605.551371,210.101737,514.948095,0,377.500254,944.340859,516.404642
Red Larch,109.158829,47.614476,575.826784,636.616506,237.563245,52.719778,446.368776,478.409015,355.7655,377.500254,0,785.158264,357.222047
Ruathym,675.999434,765.657277,1142.667389,1203.457111,804.40385,816.92158,519.99604,1045.249621,429.392764,944.340859,785.158264,0,924.062652
Secomber,248.063218,337.72106,714.731173,775.520894,161.176084,198.928872,585.273165,617.313404,494.669888,516.404642,357.222047,924.062652,0
