origin,destination,reachable,distance_miles,travel_days,freight_gp_per_100_lb,leg_count,uses_inferred,path,leg_modes,leg_connections
Waterdeep,Waterdeep,True,0,0,0,0,False,Waterdeep,,
Waterdeep,Amphail,True,89.657842,3.39613,0.547728,1,False,Waterdeep -> Amphail,road,The Long Road
Waterdeep,Baldur's Gate,True,466.667955,5.401249,0.785052,1,False,Waterdeep -> Baldur's Gate,sea,The Sword Coast Run
Waterdeep,Caer Calidyrr,True,527.457677,7.71137,1.182881,2,False,Waterdeep -> Mintarn -> Caer Calidyrr,sea -> sea,Sea of Swords coasting run -> Sea of Swords coasting run
Waterdeep,Daggerford,True,128.404415,4.115526,0.681531,1,False,Waterdeep -> Daggerford,road,The Trade Way
Waterdeep,Goldenfields,True,140.922145,5.909086,0.958445,2,False,Waterdeep -> Amphail -> Goldenfields,road -> road,The Long Road -> Long Road: Mirabar to Waterdeep
Waterdeep,Leilon,True,337.209947,5.874353,0.941078,2,False,Waterdeep -> Neverwinter -> Leilon,sea -> road,The Sword Coast Run -> The High Road
Waterdeep,Mintarn,True,369.250186,5.398395,0.822417,1,False,Waterdeep -> Mintarn,sea,Sea of Swords coasting run
Waterdeep,Neverwinter,True,246.606671,2.854244,0.414854,1,False,Waterdeep -> Neverwinter,sea,The Sword Coast Run
Waterdeep,Orlumbor,True,268.341424,3.726964,0.554742,1,False,Waterdeep -> Orlumbor,sea,The Nelanther Passage
Waterdeep,Red Larch,True,109.158829,3.937909,0.687614,1,False,Waterdeep -> Red Larch,river+road,The Dessarin
Waterdeep,Ruathym,True,675.999434,8.743394,1.428542,4,False,Waterdeep -> Neverwinter -> Port Llast -> Luskan -> Ruathym,sea -> sea -> sea -> sea,The Sword Coast Run -> The Sword Coast Run -> The Sword Coast Run -> Sea of Swords coasting run
Waterdeep,Secomber,True,248.063218,12.159962,2.066221,1,False,Waterdeep -> Secomber,road,The Delimbiyr Route
Amphail,Waterdeep,True,89.657842,3.39613,0.547728,1,False,Amphail -> Waterdeep,road,The Long Road
Amphail,Amphail,True,0,0,0,0,False,Amphail,,
Amphail,Baldur's Gate,True,556.325797,8.79738,1.33278,2,False,Amphail -> Waterdeep -> Baldur's Gate,road -> sea,The Long Road -> The Sword Coast Run
Amphail,Caer Calidyrr,True,617.115519,11.1075,1.730609,3,False,Amphail -> Waterdeep -> Mintarn -> Caer Calidyrr,road -> sea -> sea,The Long Road -> Sea of Swords coasting run -> Sea of Swords coasting run
Amphail,Daggerford,True,218.062258,7.511657,1.229259,2,False,Amphail -> Waterdeep -> Daggerford,road -> road,The Long Road -> The Trade Way
Amphail,Goldenfields,True,51.264303,2.512956,0.410718,1,False,Amphail -> Goldenfields,road,Long Road: Mirabar to Waterdeep
Amphail,Leilon,True,426.867789,9.270483,1.488806,3,False,Amphail -> Waterdeep -> Neverwinter -> Leilon,road -> sea -> road,The Long Road -> The Sword Coast Run -> The High Road
Amphail,Mintarn,True,458.908029,8.794525,1.370145,2,False,Amphail -> Waterdeep -> Mintarn,road -> sea,The Long Road -> Sea of Swords coasting run
Amphail,Neverwinter,True,336.264513,6.250374,0.962582,2,False,Amphail -> Waterdeep -> Neverwinter,road -> sea,The Long Road -> The Sword Coast Run
Amphail,Orlumbor,True,357.999267,7.123095,1.10247,2,False,Amphail -> Waterdeep -> Orlumbor,road -> sea,The Long Road -> The Nelanther Passage
Amphail,Red Larch,True,47.614476,1.803579,0.31036,1,False,Amphail -> Red Larch,road,The Long Road
Amphail,Ruathym,True,765.657277,12.139525,1.97627,5,False,Amphail -> Waterdeep -> Neverwinter -> Port Llast -> Luskan -> Ruathym,road -> sea -> sea -> sea -> sea,The Long Road -> The Sword Coast Run -> The Sword Coast Run -> The Sword Coast Run -> Sea of Swords coasting run
Amphail,Secomber,True,337.72106,15.556092,2.613949,2,False,Amphail -> Waterdeep -> Secomber,road -> road,The Long Road -> The Delimbiyr Route
Baldur's Gate,Waterdeep,True,466.667955,5.401249,0.785052,1,False,Baldur's Gate -> Waterdeep,sea,The Sword Coast Run
Baldur's Gate,Amphail,True,556.325797,8.79738,1.33278,2,False,Baldur's Gate -> Waterdeep -> Amphail,sea -> road,The Sword Coast Run -> The Long Road
Baldur's Gate,Baldur's Gate,True,0,0,0,0,False,Baldur's Gate,,
Baldur's Gate,Caer Calidyrr,True,469.016628,6.629769,1.040762,2,False,Baldur's Gate -> Mintarn -> Caer Calidyrr,sea -> sea,The Nelanther Passage -> Sea of Swords coasting run
Baldur's Gate,Daggerford,True,595.07237,9.516776,1.466583,2,False,Baldur's Gate -> Waterdeep -> Daggerford,sea -> road,The Sword Coast Run -> The Trade Way
