From / To,Waterdeep,Amphail,Baldur's Gate,Caer Calidyrr,Daggerford,Goldenfields,Leilon,Mintarn,Neverwinter,Orlumbor,Red Larch,Ruathym,Secomber
Waterdeep,0,3.39613,5.401249,7.71137,4.115526,5.909086,5.874353,5.398395,2.854244,3.726964,3.937909,8.743394,12.159962
Amphail,3.39613,0,8.79738,11.1075,7.511657,2.512956,9.270483,8.794525,6.250374,7.123095,1.803579,12.139525,15.556092
Baldur's Gate,5.401249,8.79738,0,6.629769,9.516776,11.310336,11.275603,4.316794,8.255493,2.979646,9.339158,14.144644,17.561211
Caer Calidyrr,7.71137,11.1075,6.629769,0,11.826896,13.620456,13.585723,2.312975,10.565613,5.231055,11.649278,16.454764,19.871331
Daggerford,4.115526,7.511657,9.516776,11.826896,0,10.024613,9.989879,9.513921,6.96977,7.84249,8.053435,12.858921,10.406514
Goldenfields,5.909086,2.512956,11.310336,13.620456,10.024613,0,11.783439,11.307481,8.76333,9.636051,2.584303,14.652481,14.957058
Leilon,5.874353,9.270483,11.275603,13.585723,9.989879,11.783439,0,11.272748,3.020109,9.601317,9.812262,8.90926,18.034315
Mintarn,5.398395,8.794525,4.316794,2.312975,9.513921,11.307481,11.272748,0,8.252638,2.91808,9.336303,14.141789,17.558356
Neverwinter,2.854244,6.250374,8.255493,10.565613,6.96977,8.76333,3.020109,8.252638,0,6.581208,6.792153,5.889151,15.014206
Orlumbor,3.726964,7.123095,2.979646,5.231055,7.84249,9.636051,9.601317,2.91808,6.581208,0,7.664873,12.470359,15.886926
Red Larch,3.937909,1.803579,9.339158,11.649278,8.053435,2.584303,9.812262,9.336303,6.792153,7.664873,0,12.681303,16.09787
Ruathym,8.743394,12.139525,14.144644,16.454764,12.858921,14.652481,8.90926,14.141789,5.889151,12.470359,12.681303,0,20.903356
Secomber,12.159962,15.556092,17.561211,19.871331,10.406514,14.957058,18.034315,17.558356,15.014206,15.886926,16.09787,20.903356,0
