option_id,selection,connections,origin,destination,reachable,distance_miles,travel_days,freight_gp_per_100_lb,leg_count,uses_inferred,path,leg_modes,leg_connections
OPT-0001,Fastest; Lowest freight,1,Amphail,Baldur's Gate,True,556.325797,8.79738,1.33278,2,False,Amphail -> Waterdeep -> Baldur's Gate,road -> sea,The Long Road -> The Sword Coast Run
OPT-0002,Land only,2,Amphail,Baldur's Gate,True,734.04424,24.049541,4.075098,3,False,Amphail -> Waterdeep -> Daggerford -> Baldur's Gate,road -> road -> road,The Long Road -> The Trade Way -> The Trade Way
OPT-0003,Fastest; Lowest freight,2,Amphail,Caer Calidyrr,True,617.115519,11.1075,1.730609,3,False,Amphail -> Waterdeep -> Mintarn -> Caer Calidyrr,road -> sea -> sea,The Long Road -> Sea of Swords coasting run -> Sea of Swords coasting run
OPT-0004,Fastest; Lowest freight; Land only,1,Amphail,Daggerford,True,218.062258,7.511657,1.229259,2,False,Amphail -> Waterdeep -> Daggerford,road -> road,The Long Road -> The Trade Way
OPT-0005,Fastest; Lowest freight; Land only,0,Amphail,Goldenfields,True,51.264303,2.512956,0.410718,1,False,Amphail -> Goldenfields,road,Long Road: Mirabar to Waterdeep
OPT-0006,Fastest; Lowest freight,2,Amphail,Leilon,True,426.867789,9.270483,1.488806,3,False,Amphail -> Waterdeep -> Neverwinter -> Leilon,road -> sea -> road,The Long Road -> The Sword Coast Run -> The High Road
OPT-0007,Land only,1,Amphail,Leilon,True,321.874319,11.13668,1.846282,2,False,Amphail -> Waterdeep -> Leilon,road -> road,The Long Road -> The High Road
OPT-0008,Fastest; Lowest freight,1,Amphail,Mintarn,True,458.908029,8.794525,1.370145,2,False,Amphail -> Waterdeep -> Mintarn,road -> sea,The Long Road -> Sea of Swords coasting run
OPT-0009,Fastest; Lowest freight,1,Amphail,Neverwinter,True,336.264513,6.250374,0.962582,2,False,Amphail -> Waterdeep -> Neverwinter,road -> sea,The Long Road -> The Sword Coast Run
OPT-0010,Land only,2,Amphail,Neverwinter,True,412.477595,14.156789,2.372506,3,False,Amphail -> Waterdeep -> Leilon -> Neverwinter,road -> road -> road,The Long Road -> The High Road -> The High Road
OPT-0011,Fastest; Lowest freight,1,Amphail,Orlumbor,True,357.999267,7.123095,1.10247,2,False,Amphail -> Waterdeep -> Orlumbor,road -> sea,The Long Road -> The Nelanther Passage
